name,author,narrator,time,releasedate,language,stars,price,ratings
99 Thoughts on Ganesha (Hindi Edition),Devdutt Pattanaik,Ritesh Jha,167,2020-03-13,Hindi,3.0,217.00,1
Stand Strong,Shubha Vilas,Neel Chaudhuri,625,2020-10-21,English,5.0,836.00,1
Book of Kali,Seema Mohanty,Deepti Singh,188,2020-11-21,English,5.0,879.00,1
Hinduism for Dummies,Dr.Amrutur V.Srinivasan,Neil Shah,922,2019-10-22,English,4.5,703.00,5
The Ramayana Lord Rama the Supreme Personality of Godhead - Part 4,Valmiki,"Jagannatha Dasa,The Icon Players",219,2020-04-10,English,5.0,187.00,1
The Ramayana Lord Rama the Supreme Personality of Godhead - Part 2,Valmiki,"Jagannatha Dasa,The Icon Players",189,2020-04-28,English,5.0,187.00,1
New Birth or Rebirth,Ravi Zacharias,Simon Vance,124,2010-01-07,English,5.0,368.00,8
Introducing Gita in Just 10 Minutes (Rupa Quick Reads),Jogindranath Mukharji,Sundip Ved,85,2017-11-21,English,4.0,233.00,1
Conquer Change,Shubha Vilas,Neel Chaudhuri,710,2020-10-21,English,5.0,836.00,2
Lokah Samastah Sukhino Bhavantu,Walter Berger,Walter Berger,18,2020-09-21,german,5.0,32.00,1
The Qur'an,M.A.S.Abdel Haleem-translator,Ayman Haleem,1155,2018-10-16,English,4.5,"1,003.00",35
What the Qur'an Meant,Garry Wills,Robertson Dean,371,2017-10-03,English,5.0,754.00,4
Misquoting Muhammad,Jonathan A.C.Brown,Paul Boehmer,936,2017-10-24,English,4.0,"1,055.00",5
"Coran, The Holy Quran",World Music Office,Abdelbasset Mohamed Abdessamad,1894,2008-05-01,English,5.0,702.00,2
The Qur'an (Arabic Edition with English Translation): Surah 1 - Al-Fatiha,One Mediai PLTD,A.Haleem,1,2018-02-05,arabic,1.0,76.00,1
The Islamic Antichrist,Joel Richardson,Richard Powers,629,2011-05-05,English,5.0,632.00,1
The Holy Qur'an,Noorbox Productions,Kevan Brighting,328,2008-01-22,English,4.0,547.00,3
Islam,Fazlur Rahman,Lameece Issaq,789,2009-12-22,English,4.5,836.00,2
The Complete Infidel's Guide to the Koran,Robert Spencer,Lloyd James,476,2009-11-30,English,4.5,694.00,3
The Trouble with Islam Today,Irshad Manji,Irshad Manji,491,2011-10-07,English,4.5,468.00,2
Islam Without Extremes,Mustafa Akyol,Bill Hensel,489,2013-06-27,English,5.0,609.00,1
The Koran,Trout Lake Media,Alec Sand,875,2010-02-09,English,5.0,268.00,1
Following Muhammed,Carl W.Ernst,Bill Wallace,471,2010-07-15,English,5.0,737.00,1
Women Inspired by the Beloved (Peace be Upon Him),Dr.Hesham Al-Awadi,Catherine Byers,460,2007-11-16,English,5.0,"1,171.00",1
The Divine Name,"Gregg Braden,Jonathan Goldman","Gregg Braden,Jonathan Goldman",53,2018-08-14,English,5.0,352.00,1
Belonging,Simon Schama,Saul Reichlin,2174,2017-10-12,English,5.0,"1,138.00",1
"The Story of the Jews: Finding the Words, 1000 BCE - 1492",Simon Schama,"Andrew Sachs,Saul Reichlin",1268,2013-10-14,English,5.0,835.00,1
War of the Gods,Erichvon Däniken,David Stifel,348,2020-09-01,English,4.0,586.00,4
The Hebrew Bible,Robert Alter,Edoardo Ballerini,3843,2019-12-05,English,5.0,"1,407.00",2
The Rational Bible: Genesis,Dennis Prager,Tom Parks,1187,2019-05-07,English,5.0,"1,005.00",2
What Would You Do If You Weren't Afraid?,Michal Oshman,Michal Oshman,411,2021-05-06,English,5.0,888.00,4
The Torah: The JPS Audio Version,The Jewish Publication Society,"M.D.Laufer,Norma Fire,Michael Bernstein,",849,2010-04-07,English,5.0,821.00,1
The Book of Revelation Decoded,"Rabbi K.A.Schneider,Mike Bickle-foreword",Bob Souer,420,2018-12-25,English,3.5,586.00,2
In a Pit with a Lion on a Snowy Day,Mark Batterson,Mark Batterson,308,2009-02-12,English,5.0,516.00,1
The Gospel According to God,John Mac Arthur,Bob Souer,430,2018-02-18,English,5.0,762.00,1
Jesus and the Dead Sea Scrolls,John Bergsma,Mark Deakins,438,2019-09-10,English,4.0,879.00,1
Freedom for All,Neville Goddard,Mitch Horowitz,84,2015-06-12,English,5.0,82.00,1
Judaism,Dr.Geoffrey Wigoder,Ben Kingsley,180,2006-08-10,English,4.0,468.00,1
The Lost World of Genesis One,John H.Walton,Steve Coulter,335,2014-10-17,English,5.0,668.00,2
"""Our Crowd""",Stephen Birmingham,Mel Foster,1191,2019-07-02,English,4.0,"1,005.00",1
Promise Me You'll Shoot Yourself,Florian Huber,Sam Peter Jackson,473,2019-07-04,English,4.5,888.00,3
On the Run in Nazi Berlin,"Bert Lewyn,Bev Saltzman Lewyn-contributor","Jonathan Davis,Suzanne Toren",770,2019-03-12,English,5.0,836.00,1
"Hitler, the Germans, and the Final Solution",Ian Kershaw,Nick Sandys,857,2019-01-22,English,4.0,"1,003.00",2
Inexpressible,Michael Card,Michael Card,248,2018-12-18,English,5.0,703.00,1
